영역,기본프랍,prop_id,재질/변형,격자,기능,파괴최종형,우선순위,비고
수납,신발장,prop_shoe_rack,나무,1x1,-,N,P3,
수납,신발장,prop_shoe_rack,플라스틱,1x1,-,N,P3,
침실,침대,prop_bed,나무,1x2,휴식/루팅,Y,P1,
침실,침대,prop_bed,철제,1x2,휴식/루팅,Y,P1,
침실,매트리스(단독),prop_mattress,-,1x2,-,Y,P2,
침실,화장대,prop_vanity,나무,1x1,루팅,N,P3,
침실,전신거울,prop_mirror_full,-,1x1,-,Y,P3,
침실,이불더미,prop_bedding_pile,-,1x1,-,N,P3,
주방,냉장고,prop_fridge,-,1x1,루팅(식료),Y,P1,
주방,가스레인지,prop_stove,-,1x1,-,N,P2,
주방,싱크대,prop_kitchen_sink,-,2x1,루팅,N,P2,
주방,찬장,prop_cupboard,나무,1x1,루팅(식료),N,P2,
주방,전자레인지,prop_microwave,-,1x1,-,N,P3,
주방,식기더미,prop_dishes,-,1x1,-,N,P3,
주방,워터쿨러,prop_water_cooler,-,1x1,루팅(음료),N,P3,
욕실,변기,prop_toilet,-,1x1,-,Y,P2,
욕실,세면대,prop_washbasin,-,1x1,-,N,P2,
욕실,욕조,prop_bathtub,-,2x1,-,N,P3,
욕실,세탁기,prop_washer,-,1x1,루팅,N,P3,
욕실,욕실수납장,prop_bath_cabinet,-,1x1,루팅(의료),N,P2,
가전,TV,prop_tv,-,1x1,-,Y,P2,
가전,컴퓨터(모니터),prop_pc,-,1x1,루팅(전자),N,P2,
가전,복사기,prop_copier,-,1x1,-,N,P3,
가전,선풍기,prop_fan,-,1x1,-,N,P3,
상업,금전등록기,prop_register,-,1x1,루팅(현금),N,P2,
상업,진열대(상점),prop_store_shelf,철제,2x1,루팅,N,P1,
상업,진열대(상점),prop_store_shelf,나무,2x1,루팅,N,P1,
상업,계산대/카운터,prop_counter,나무,2x1,-,N,P1,
상업,계산대/카운터,prop_counter,철제,2x1,-,N,P1,
상업,화이트보드,prop_whiteboard,-,1x1,-,N,P3,
상업,서류더미,prop_paper_stack,-,1x1,루팅(정보),N,P2,
상업,마네킹,prop_mannequin,-,1x1,-,Y,P3,
의료,진료베드,prop_medical_bed,-,2x1,-,N,P2,
의료,약품 캐비닛,prop_medicine_cabinet,-,1x1,루팅(의료),Y,P1,
의료,수액걸이,prop_iv_stand,-,1x1,-,N,P3,
의료,의료카트,prop_medical_cart,-,1x1,루팅(의료),N,P2,
의료,접수데스크,prop_reception_desk,-,2x1,-,N,P3,
공업,드럼통,prop_drum,철제,1x1,루팅/조명,Y,P1,
공업,드럼통,prop_drum,불피운,1x1,루팅/조명,Y,P1,
공업,팰릿,prop_pallet,나무,1x1,-,N,P1,
공업,나무박스,prop_wood_crate,나무,1x1,루팅(범용),Y,P1,
공업,플라스틱 컨테이너,prop_plastic_bin,플라스틱,1x1,루팅,N,P1,
공업,공구대,prop_tool_bench,철제,2x1,루팅(재료),N,P2,
공업,배전반,prop_electric_panel,-,1x1,-,N,P2,
공업,파이프더미,prop_pipes,-,1x1,-,N,P3,
공업,지게차,prop_forklift,-,2x2,-,N,P3,
공업,가스통,prop_gas_cylinder,-,1x1,-,N,P2,
공업,타이어더미,prop_tire_stack,-,1x1,-,N,P2,
학교,학생책상,prop_school_desk,-,1x1,-,N,P3,
학교,칠판,prop_blackboard,-,2x1,-,N,P3,
학교,실험대,prop_lab_bench,-,2x1,루팅,N,P3,
조명,전기스탠드,prop_lamp,-,1x1,조명,N,P2,
조명,가로등,prop_streetlight,-,1x1,조명,N,P1,
조명,랜턴(배치),prop_lantern_placed,-,1x1,조명,N,P2,
조명,네온사인,prop_neon_sign,켜짐,1x1,발광,N,P2,
조명,네온사인,prop_neon_sign,꺼짐,1x1,발광,N,P2,
천장,형광등,ceiling_fluorescent,켜짐,1x1,조명,N,P2,
천장,형광등,ceiling_fluorescent,꺼짐/깨짐,1x1,조명,N,P2,
천장,샹들리에,ceiling_chandelier,-,1x1,조명,N,P3,
천장,천장팬,ceiling_fan,-,1x1,-,N,P3,
천장,노출배관,ceiling_pipes,-,1x1,-,N,P3,
천장,붕괴구멍,ceiling_hole,-,1x1,-,N,P3,
벽장식,액자,prop_frame,-,1x1,-,N,P3,
벽장식,벽시계,prop_wall_clock,-,1x1,-,N,P3,
벽장식,달력,prop_calendar,-,1x1,-,N,P3,
벽장식,포스터,prop_poster,-,1x1,-,N,P3,
벽장식,게시판,prop_bulletin,-,1x1,-,N,P2,
벽장식,스위치/콘센트,prop_switch,-,1x1,-,N,P3,
벽장식,환풍구,prop_vent,-,1x1,-,N,P3,
벽장식,소화기,prop_extinguisher,-,1x1,-,N,P3,
벽장식,간판(실내),prop_indoor_sign,-,1x1,-,N,P3,
문/창,실내문,prop_door,나무,1x1,통행,Y,P1,
문/창,실내문,prop_door,철제,1x1,통행,Y,P1,
문/창,유리문,prop_glass_door,-,1x1,통행,Y,P2,
문/창,미닫이문,prop_sliding_door,-,1x1,통행,N,P3,
문/창,창문,prop_window,멀쩡,1x1,-,N,P1,
문/창,창문,prop_window,깨짐,1x1,-,N,P1,
문/창,창문,prop_window,판자,1x1,-,N,P1,
문/창,창문,prop_window,커튼/블라인드,1x1,-,N,P1,
문/창,셔터,prop_shutter,닫힘,2x1,-,N,P1,
문/창,셔터,prop_shutter,반쯤,2x1,-,N,P1,
문/창,셔터,prop_shutter,부서짐,2x1,-,N,P1,
옥상,물탱크,roof_water_tank,-,2x2,-,N,P2,
옥상,실외기(군집),roof_ac_units,-,1x1,-,N,P2,
옥상,환기구덕트,roof_vent_duct,-,1x1,-,N,P2,
옥상,안테나/위성접시,roof_antenna,-,1x1,-,N,P2,
옥상,굴뚝,roof_chimney,-,1x1,-,N,P3,
옥상,옥상난간,roof_railing,콘크리트,2x1,경계,N,P1,
옥상,옥상난간,roof_railing,철제,2x1,경계,N,P1,
옥상,사다리/비상계단,roof_ladder,-,1x1,통행,N,P2,
옥상,빨래줄,roof_clothesline,-,2x1,-,N,P3,
옥상,텃밭화분,roof_planter,-,1x1,-,N,P3,
옥상,파라솔/돗자리,roof_parasol,-,1x1,-,N,P3,
옥상,태양광패널,roof_solar,-,2x1,-,N,P3,
옥상,옥탑방,roof_shack,-,2x2,통행,N,P2,
옥상,경광등,roof_beacon,-,1x1,발광,N,P3,
외벽,실외기(벽),facade_ac,-,1x1,-,N,P2,
외벽,배수관/우수관,facade_drainpipe,-,1x1,-,N,P2,
외벽,케이블다발,facade_cables,-,1x1,-,N,P2,
외벽,배전함,facade_junction,-,1x1,-,N,P3,
외벽,가스배관,facade_gas_pipe,-,1x1,-,N,P3,
외벽,소화전,facade_hydrant,-,1x1,-,N,P3,
외벽,돌출간판,facade_sign,켜짐,1x1,-,N,P2,
외벽,돌출간판,facade_sign,꺼짐,1x1,-,N,P2,
외벽,현수막,facade_banner,-,1x2,-,N,P3,
외벽,발코니,facade_balcony,-,2x1,-,N,P2,
외벽,방범창,facade_security_bars,-,1x1,-,N,P3,
외벽,차양/어닝,facade_awning,-,2x1,-,N,P3,
외벽,입구계단/경사로,facade_steps,-,2x1,통행,N,P2,
외벽,전봇대,facade_pole,-,1x1,-,N,P2,
외벽,가로수,facade_tree,-,1x1,-,N,P2,
소품,쓰레기봉투,prop_trash_bag,-,1x1,-,N,P2,
소품,쓰레기통,prop_trash_can,철제,1x1,루팅(잡),N,P2,
소품,쓰레기통,prop_trash_can,플라스틱,1x1,루팅(잡),N,P2,
소품,박스더미,prop_box_pile,-,1x1,루팅,N,P1,
소품,전선뭉치,prop_wire_bundle,-,1x1,-,N,P3,
소품,신문/잡지더미,prop_paper_pile,-,1x1,-,N,P3,
소품,병/캔더미,prop_bottle_pile,-,1x1,루팅,N,P3,
소품,옷더미,prop_cloth_pile,-,1x1,-,N,P3,
소품,벽돌/콘크리트잔해,prop_rubble,-,1x1,엄폐,N,P1,
소품,모래주머니,prop_sandbag,-,1x1,바리케이드,N,P1,
소품,깨진유리조각,prop_glass_shards,-,1x1,데칼/소품,N,P3,
소품,드럼통(쓰러진),prop_drum_fallen,-,1x1,-,N,P3,
자연,화분,prop_potted_plant,멀쩡,1x1,-,N,P2,
자연,화분,prop_potted_plant,말라죽음,1x1,-,N,P2,
자연,잡초/풀,prop_weeds,-,1x1,데칼/소품,N,P1,
자연,덩굴,prop_vines,-,1x1,-,N,P2,
자연,죽은나무,prop_dead_tree,-,1x1,-,N,P3,
자연,물웅덩이,decal_puddle,-,1x1,데칼,N,P2,
데칼,핏자국,decal_blood,-,-,오염,N,P2,시트
데칼,그을음,decal_soot,-,-,오염,N,P2,시트
데칼,균열,decal_crack,-,-,손상,N,P1,시트
데칼,낙서/그래피티,decal_graffiti,-,-,장식,N,P2,시트
데칼,이끼,decal_moss,-,-,오염,N,P1,시트
데칼,물때/곰팡이,decal_mold,-,-,오염,N,P1,시트
데칼,기름얼룩,decal_oil,-,-,오염,N,P3,시트
데칼,흙/먼지,decal_dirt,-,-,오염,N,P1,시트
데칼,타이어자국,decal_tiremark,-,-,장식,N,P3,시트
인텔,잠긴금고,object_safe_locked,-,1x1,인텔게이트,N,P2,잠김↔개방
인텔,잠긴문,object_locked_door,-,1x1,인텔게이트,N,P2,
인텔,지하해치,object_hatch,-,1x1,인텔게이트,N,P2,
인텔,가려진통로,object_hidden_passage,-,1x1,인텔게이트,N,P3,
인텔,뜯긴환풍구,object_broken_vent,-,1x1,인텔게이트,N,P3,
인텔,쪽지,object_note,-,1x1,단서,N,P2,
인텔,사진,object_photo,-,1x1,단서,N,P2,
인텔,일기/문서,object_diary,-,1x1,단서,N,P3,
인텔,녹음기,object_recorder,-,1x1,단서,N,P3,
