"카테고리","이름","itemId","격자","희귀도","아이콘","폴더"
"Material","""?먯옄""","wood_plank","2x1","Common","N","Material"
"Material","""\uACE0\uCCA0 \uC870\uAC01""","scrap_metal","1x1","Common","N","Material"
"Material","""\uB098\uC0AC""","screw","1x1","Common","N","Material"
"Material","""\uCC9C \uC870\uAC01""","cloth_rag","1x1","Common","N","Material"
"Material","""湲곗감 ?ㅽ솢??","reg_railway_grease_tin","1x1","Common","N","RailwayScrap"
"Material","""鍮꾨땺 ?쒗듃""","plastic_sheet","1x2","Common","N","Material"
"Material","""?뚮줈 湲고뙋""","circuit_board","1x1","Rare","N","Material"
"Material","""?곕즺??","fuel_can","2x2","Uncommon","N","Material"
"Material","""?덉씪 ?대┰""","reg_railway_rail_clip","1x1","Uncommon","N","RailwayScrap"
"Material","""?먯쟾???꾧뎄""","flashlight_bulb","1x1","Uncommon","N","Material"
"Material","""?뷀븰 ?뚮씪?ㅽ겕""","chemical_flask","1x1","Uncommon","N","Material"
"Material","""?뺣젰怨??ㅼ씠??","reg_industrial_pressure_gauge","1x1","Uncommon","N","Industrial"
"Material","""?ㅼ삩愿 ?뷀빐""","reg_scrap_neon_tube","1x2","Uncommon","N","ScrapMarket"
"Material","""怨듦뎄 遺??","tool_part","1x2","Uncommon","N","Material"
"Medical","""\uAC70\uC988 \uB864""","gauze_roll","1x1","Common","N","Medical"
"Medical","""\uBD80\uBAA9""","splint","1x2","Common","N","Medical"
"Medical","""\uBD95\uB300""","bandage","1x2","Common","N","Medical"
"Medical","""\uC18C\uB3C5\uC57D""","disinfectant","1x1","Common","N","Medical"
"Medical","""\uC555\uBC15 \uBD95\uB300""","bandage_compress","1x2","Common","N","Medical"
"Medical","""\uC784\uC2DC \uBD80\uBAA9""","splint_makeshift","1x2","Common","N","Medical"
"Medical","""\uC9C4\uD1B5\uC81C""","painkiller","1x1","Common","N","Medical"
"Medical","""\uBAA8\uB974\uD540 \uC570\uD50C""","morphine_ampule","1x1","Rare","N","Medical"
"Medical","""\uAD6C\uAE09\uC0C1\uC790""","first_aid_kit","2x2","Uncommon","N","Medical"
"Medical","""\uBD80\uC0C1 IFAK""","ifak_injury","2x2","Uncommon","N","Medical"
"Medical","""\uC9C0\uD608 \uBD84\uB9D0""","hemostatic_powder","1x1","Uncommon","N","Medical"
"Medical","""\uC9C0\uD608\uB300""","tourniquet","1x2","Uncommon","N","Medical"
"Medical","""\uD574\uB3C5\uC81C""","antidote","1x1","Uncommon","N","Medical"
"Misc","""??吏??κ컩""","junk_glove_single","1x1","Common","N","Junk"
"Misc","""??吏??좊컻""","junk_shoe_single","1x2","Common","N","Junk"
"Misc","""?≪? ?щ젰""","junk_calendar","1x2","Common","N","Junk"
"Misc","""?≪? 紐⑥옄""","junk_hat_cap","1x2","Common","N","Junk"
"Misc","""?≪? 肄뷀듃""","coat_light","2x2","Common","N","Armor"
"Misc","""?≪? 履쎌?""","note_scrap","1x1","Common","N","Story"
"Misc","""?≪?""","junk_magazine","1x2","Common","N","Junk"
"Misc","""?щ뼥??","junk_ashtray","1x1","Common","N","Junk"
"Misc","""?대튌吏?癒멸렇""","junk_mug_chipped","1x1","Common","N","Junk"
"Misc","""?댁?""","junk_toilet_paper","1x2","Common","N","Junk"
"Misc","""?됲궓 ?꾩꽑""","junk_wire_tangle","1x1","Common","N","Junk"
"Misc","""?묐룞???щĸ""","helmet_bucket","2x2","Common","N","Armor"
"Misc","""?묐쭚""","junk_sock_pair","1x1","Common","N","Junk"
"Misc","""?묒갑??","junk_glue_tube","1x1","Common","N","Junk"
"Misc","""?묒뾽 ?κ컩""","gloves_work","1x1","Common","N","Armor"
"Misc","""?뱀뒯 ?꾨씪?댄뙩""","junk_pan_rust","2x2","Common","N","Junk"
"Misc","""?붾윭??嫄몃젅""","junk_rag_dirty","1x1","Common","N","Junk"
"Misc","""?뺥듃 ?뚯씠??","junk_tape_duct","1x1","Common","N","Junk"
"Misc","""?섍컙 ?꾧뎄""","junk_lightbulb_dead","1x1","Common","N","Junk"
"Misc","""?섏뼱吏??댁뇿""","junk_keys_bent","1x1","Common","N","Junk"
"Misc","""?섏뼱吏??잕???","junk_spoon","1x1","Common","N","Junk"
"Misc","""?쒕뱺 ?뚰솕""","reg_sanctuary_wilted_flower","1x1","Common","N","SanctuaryMemorial"
"Misc","""?쒖떇 遺꾪븘""","mark_chalk","1x1","Common","N","Story"
"Misc","""?좊━ 議곌컖""","junk_glass_shard","1x1","Common","N","Junk"
"Misc","""?좊━蹂?","junk_bottle_glass","1x2","Common","N","Junk"
"Misc","""?좊Ц""","junk_newspaper","1x2","Common","N","Junk"
"Misc","""\uACF0 \uC778\uD615""","junk_toy_bear","1x2","Common","N","Junk"
"Misc","""\uB0A1\uC740 \uC11C\uB958""","junk_paper_stack","1x1","Common","N","Junk"
"Misc","""TV 由щえ而?","junk_remote_tv","1x1","Common","N","Junk"
"Misc","""源⑥쭊 ??","junk_pen_broken","1x1","Common","N","Junk"
"Misc","""援щ??ъ쭊 ?ы겕""","junk_fork_bent","1x1","Common","N","Junk"
"Misc","""怨고뙜???뚯떇""","junk_food_moldy","1x1","Common","N","Junk"
"Misc","""湲곹엺 CD""","junk_cd_scratched","1x1","Common","N","Junk"
"Misc","""怨좊Т?ν솕""","boots_rubber","1x2","Common","N","Armor"
"Misc","""鍮?","junk_comb","1x1","Common","N","Junk"
"Misc","""鍮??≪옄""","junk_photo_frame","1x2","Common","N","Junk"
"Misc","""紐??곸옄""","junk_nail_box","1x1","Common","N","Junk"
"Misc","""鍮??대같媛?","junk_cigarette_pack","1x1","Common","N","Junk"
"Misc","""鍮??뚮씪?ㅽ떛""","junk_plastic_bottle","1x1","Common","N","Junk"
"Misc","""鍮??쇱씠??","junk_lighter_empty","1x1","Common","N","Junk"
"Misc","""鍮?源≫넻""","junk_can_empty","1x1","Common","N","Junk"
"Misc","""鍮?吏媛?","junk_wallet_empty","1x1","Common","N","Junk"
"Misc","""遺?ъ쭊 ?곗궛""","junk_umbrella_broken","1x2","Common","N","Junk"
"Misc","""諛⑹쟾 嫄댁쟾吏""","junk_battery_dead","1x1","Common","N","Junk"
"Misc","""留μ떊 ?띿꽑""","junk_balloon_deflated","1x1","Common","N","Junk"
"Misc","""鍮꾨늻""","junk_soap_bar","1x1","Common","N","Junk"
"Misc","""萸됱튇 履쎌? 臾띠쓬""","reg_silence_note_bundle","1x2","Common","N","SilenceLiving"
"Misc","""李?뼱吏??뚯꽕""","junk_book_novel","1x2","Common","N","Junk"
"Misc","""吏?쇰갚""","junk_zip_bag","1x1","Common","N","Junk"
"Misc","""吏㏃? 諛㏃쨪""","junk_rope_short","1x2","Common","N","Junk"
"Misc","""移レ넄""","junk_toothbrush","1x1","Common","N","Junk"
"Misc","""移대뱶 ????","junk_card_deck","1x1","Common","N","Junk"
"Misc","""移댁꽭??","junk_cassette","1x1","Common","N","Junk"
"Misc","""珥덇낏""","junk_candle_stub","1x1","Common","N","Junk"
"Misc","""二쇱쟾??","junk_kettle","1x2","Common","N","Junk"
"Misc","""寃? ?≪껜""","black_liquid","1x1","Epic","N","Story"
"Misc","""?띿궘???뚯씠??","whisper_tape","1x1","Rare","N","Story"
"Misc","""?쒓퀎 遺??","clock_part","1x1","Rare","N","Story"
"Misc","""留덈꽕????","junk_mannequin_arm","1x3","Rare","N","Junk"
"Misc","""諛ㅼ닚李?諛⑹뼱援?","armor_night","2x3","Rare","N","Armor"
"Misc","""??먭린""","junk_typewriter","2x2","Uncommon","N","Junk"
"Misc","""?꾩긽 ?뷀빐""","anomaly_residue","1x2","Uncommon","N","Story"
"Misc","""?먯쟾嫄?諛뷀?","junk_bike_wheel","2x2","Uncommon","N","Junk"
"Misc","""?명삎 癒몃━""","junk_doll_head","1x1","Uncommon","N","Junk"
"Misc","""?쒖???議곌컖""","junk_sign_road","2x1","Uncommon","N","Junk"
"Misc","""媛吏??몃줈??","junk_trophy_fake","1x2","Uncommon","N","Junk"
"Misc","""嫄곗슱 議곌컖""","junk_mirror_shard","1x1","Uncommon","N","Junk"
"Misc","""怨좎옣 ?꾨┛??","junk_printer","2x3","Uncommon","N","Junk"
"Misc","""怨좎쿋 議곕겮""","vest_scrap","2x2","Uncommon","N","Armor"
"Valuable","""?곴? ?좎씤沅?臾띠쓬""","reg_scrap_coupon_stack","1x1","Common","N","ScrapMarket"
"Valuable","""\uC2A4\uD06C\uB7A9 \uCF54\uC778""","coin_scrap","1x1","Common","N","Valuable"
"Valuable","""LP ??","val_vinyl_record","1x2","Common","N","Valuable"
"Valuable","""LUNA ?ㅽ떚而?","reg_entertain_luna_sticker","1x1","Common","N","Entertainment"
"Valuable","""援щ━ 諛섏?""","val_ring_copper","1x1","Common","N","Valuable"
"Valuable","""援ы삎 ?대???","val_phone_old","1x1","Common","N","Valuable"
"Valuable","""援ы솕""","coin_old","1x1","Common","N","Valuable"
"Valuable","""怨꾩궛湲?","val_calculator","1x1","Common","N","Valuable"
"Valuable","""猷⑤뵒 媛猷?","ruby_dust","1x1","Common","N","Valuable"
"Valuable","""蹂듦텒""","val_lottery_ticket","1x1","Common","N","Valuable"
"Valuable","""諛붾옖 荑좏룿""","coupon_faded","1x1","Common","N","Valuable"
"Valuable","""留앷?吏??쒓퀎""","val_watch_broken","1x1","Common","N","Valuable"
"Valuable","""吏?섏쿋 ?좏겙""","token_subway","1x1","Common","N","Valuable"
"Valuable","""移⑤У ?쒖옣 ?앺몴""","reg_silence_market_chit","1x1","Common","N","SilenceLiving"
"Valuable","""?먮┸???ъ쭊""","photo_brother","1x1","Epic","N","Valuable"
"Valuable","""?먮찓?꾨뱶 釉뚮줈移?","val_emerald_brooch","1x1","Epic","N","Valuable"
"Valuable","""?뺣? ?좊텇利?","val_id_government","1x1","Epic","N","Valuable"
"Valuable","""?ㅼ뿼 猷⑤뵒""","ruby_corrupted","1x1","Epic","N","Valuable"
"Valuable","""?ㅼ씠??諛섏?""","val_diamond_ring","1x1","Epic","N","Valuable"
"Valuable","""?ㅽ뙏 諛섏?""","val_opal_ring","1x1","Epic","N","Valuable"
"Valuable","""\uAC80\uC740 \uC9C4\uC8FC""","val_black_pearl","1x1","Epic","N","Valuable"
"Valuable","""\uB8E8\uB514 \uACB0\uC815""","ruby_crystal","2x2","Epic","N","Valuable"
"Valuable","""\uC18C\uD615 \uADF8\uB9BC""","val_painting_small","2x2","Epic","N","Valuable"
"Valuable","""\uC18C\uD615 \uC870\uAC01\uC0C1""","val_statue_mini","2x2","Epic","N","Valuable"
"Valuable","""怨⑤룞 ?붾퀝""","val_antique_vase","2x3","Epic","N","Valuable"
"Valuable","""寃고샎 諛섏?""","val_ring_wedding","1x1","Epic","N","Valuable"
"Valuable","""湲덇눼""","val_gold_bar","2x1","Epic","N","Valuable"
"Valuable","""怨듯뿀 ?붾쪟臾?","reg_core_void_residue","1x1","Epic","N","EternalNightCore"
"Valuable","""猷⑤뵒 肄붿뼱""","ruby_core","2x2","Epic","N","Valuable"
"Valuable","""諛깃툑 紐⑷구??","val_platinum_chain","1x2","Epic","N","Valuable"
"Valuable","""?숈깮???쒓퀎""","val_watch_brother","1x1","Legendary","N","Valuable"
"Valuable","""\uB8E8\uB514 \uC138\uACF5 \uC138\uD2B8""","val_ruby_set","2x2","Legendary","N","Valuable"
"Valuable","""???쒕뜕??","val_jade_pendant","1x1","Rare","N","Valuable"
"Valuable","""?ㅻⅤ怨?","val_music_box","1x2","Rare","N","Valuable"
"Valuable","""?쒓? ?곸옄""","val_cigar_box","1x2","Rare","N","Valuable"
"Valuable","""?좊Ъ ?뚰렪""","val_artifact_shard","1x1","Rare","N","Valuable"
"Valuable","""?좎슜 移?","val_chip_credit","1x1","Rare","N","Valuable"
"Valuable","""\uAE08\uBAA9\uAC78\uC774""","val_necklace_gold","1x1","Rare","N","Valuable"
"Valuable","""\uD68C\uC911\uC2DC\uACC4""","val_watch_pocket","1x1","Rare","N","Valuable"
"Valuable","""湲??ъ뒳""","val_chain_gold","1x2","Rare","N","Valuable"
"Valuable","""鍮좎쭊 蹂댁꽍""","val_gem_loose","1x1","Rare","N","Valuable"
"Valuable","""? ?잕???","val_silver_spoon","1x1","Uncommon","N","Valuable"
"Valuable","""?諛섏?""","val_ring_silver","1x1","Uncommon","N","Valuable"
"Valuable","""?고몴梨?","val_stamp_book","1x2","Uncommon","N","Valuable"
"Valuable","""?꾨쫫 移대찓??","val_camera_film","2x2","Uncommon","N","Valuable"
"Valuable","""?꾩뒪??鍮덈퀝""","val_whiskey_bottle","1x2","Uncommon","N","Valuable"
"Valuable","""?대? ?쇰뵒??","val_radio_hand","1x2","Uncommon","N","Valuable"
"Valuable","""?먮ぉ?쒓퀎""","val_watch_wrist","1x1","Uncommon","N","Valuable"
"Valuable","""?붿컡""","val_bracelet","1x1","Uncommon","N","Valuable"
"Valuable","""\uB8E8\uB514 \uC870\uAC01""","ruby_shard","1x1","Uncommon","N","Valuable"
"Valuable","""洹嫄몄씠""","val_earring_pair","1x1","Uncommon","N","Valuable"
"Valuable","""湲곕뀗二쇳솕 ?명듃""","val_coin_collect","1x2","Uncommon","N","Valuable"
"Valuable","""湲곕룄 援ъ뒳""","reg_sanctuary_prayer_bead","1x1","Uncommon","N","SanctuaryMemorial"
"Valuable","""援곗닔??","coin_military","1x1","Uncommon","N","Valuable"
"Valuable","""湲덈땲""","val_dental_gold","1x1","Uncommon","N","Valuable"
"Valuable","""怨듭뿰 ?낆옣沅?議곌컖""","reg_entertain_show_ticket","1x1","Uncommon","N","Entertainment"
"Valuable","""鍮??μ닔蹂?","val_perfume_empty","1x1","Uncommon","N","Valuable"
"Valuable","""泥댁뒪 ?명듃""","val_chess_set","2x2","Uncommon","N","Valuable"
"Valuable","""二쎌? ?명듃遺?","val_laptop_dead","2x2","Uncommon","N","Valuable"
"Weapon","""?뱀뒯 ?뚯씠??","pipe_worn","2x1","Common","N","Weapon"
"Weapon","""?섎Т 媛곷ぉ""","wood_club","2x1","Common","N","Weapon"
"Weapon","""?쇨뎄諛⑸쭩??","bat","3x1","Common","N","Weapon"
"Weapon","""\uB098\uC774\uD504""","knife","2x1","Common","N","Weapon"
"Weapon","""\uD30C\uC774\uD504""","pipe","2x1","Common","N","Weapon"
"Weapon","""?ㅼ뿼 移쇰궇""","anomaly_blade","2x2","Epic","N","Weapon"
"Weapon","""?κ?""","long_sword","2x3","Rare","N","Weapon"
"Weapon","""?꾨겮""","axe","3x2","Uncommon","N","Weapon"
"Weapon","""留앹튂""","hammer","2x2","Uncommon","N","Weapon"
"Weapon","""李?","spear","1x3","Uncommon","N","Weapon"
