id,disp,desc,gw,gh,cat,rar,stack,wt,use,fx,val,med,dur,maxDur,costDur
coupon_faded,바랜 쿠폰,D급,1,1,4,0,20,0.01,0,0,0,,0,0,0
val_ring_copper,구리 반지,D급,1,1,4,0,1,0.03,0,0,0,,0,0,0
val_ring_silver,은반지,C급,1,1,4,1,1,0.05,0,0,0,,0,0,0
val_earring_pair,귀걸이,C급,1,1,4,1,1,0.04,0,0,0,,0,0,0
val_bracelet,팔찌,C급,1,1,4,1,1,0.06,0,0,0,,0,0,0
val_chain_gold,금 사슬,A급,1,2,4,2,1,0.12,0,0,0,,0,0,0
val_dental_gold,금니,B급,1,1,4,1,1,0.02,0,0,0,,0,0,0
val_gem_loose,빠진 보석,B급,1,1,4,2,1,0.03,0,0,0,,0,0,0
val_ring_wedding,결혼 반지,스토리,1,1,4,3,1,0.05,0,0,0,,0,0,0
val_watch_wrist,손목시계,C급,1,1,4,1,1,0.08,0,0,0,,0,0,0
val_watch_broken,망가진 시계,D급,1,1,4,0,1,0.12,0,0,0,,0,0,0
val_radio_hand,휴대 라디오,C급,1,2,4,1,1,0.4,0,0,0,,0,0,0
val_camera_film,필름 카메라,B급,2,2,4,1,1,0.6,0,0,0,,0,0,0
val_phone_old,구형 휴대폰,C급,1,1,4,0,1,0.15,0,0,0,,0,0,0
val_laptop_dead,죽은 노트북,B급,2,2,4,1,1,1.2,0,0,0,,0,0,0
val_calculator,계산기,D급,1,1,4,0,1,0.1,0,0,0,,0,0,0
val_watch_brother,동생의 시계,Legendary,1,1,4,4,1,0.1,0,0,0,,0,0,0
val_coin_collect,기념주화 세트,C급,1,2,4,1,1,0.15,0,0,0,,0,0,0
val_stamp_book,우표책,C급,1,2,4,1,1,0.3,0,0,0,,0,0,0
val_vinyl_record,LP 판,C급,1,2,4,0,1,0.35,0,0,0,,0,0,0
val_chess_set,체스 세트,B급,2,2,4,1,1,0.8,0,0,0,,0,0,0
val_whiskey_bottle,위스키 빈병,C급,1,2,4,1,1,0.6,0,0,0,,0,0,0
val_id_government,정부 신분증,정보,1,1,4,3,1,0.02,0,0,0,,0,0,0
val_artifact_shard,유물 파편,이상현상,1,1,4,2,1,0.1,0,0,0,,0,0,0
key_warehouse,창고 열쇠,창고 문,1,1,5,1,1,0.05,0,0,0,,0,0,0
key_rooftop,옥상 열쇠,옥상 탈출,1,1,5,1,1,0.05,0,0,0,,0,0,0
note_scrap,낡은 쪽지,단서,1,1,6,0,5,0.02,0,0,0,,0,0,0
map_fragment,지도 조각,루디 힌트,1,2,5,2,1,0.1,0,0,0,,0,0,0
code_paper,암호 메모,금고,1,1,5,1,1,0.02,0,0,0,,0,0,0
badge_guard,경비 배지,NPC,1,1,5,1,1,0.03,0,0,0,,0,0,0
photo_brother,흐릿한 사진,스토리,1,1,4,3,1,0.02,0,0,0,,0,0,0
anomaly_residue,현상 잔해,제작,1,2,6,1,3,0.15,0,0,0,,0,0,0
mark_chalk,표식 분필,힌트,1,1,6,0,5,0.05,0,0,0,,0,0,0
clock_part,시계 부품,이벤트,1,1,6,2,2,0.08,0,0,0,,0,0,0
black_liquid,검은 액체,오염,1,1,6,3,2,0.1,0,0,0,,0,0,0
whisper_tape,속삭임 테이프,스토리,1,1,6,2,1,0.05,0,0,0,,0,0,0
junk_plastic_bottle,빈 플라스틱,D급,1,1,6,0,8,0.05,0,0,0,,0,0,0
junk_glass_shard,유리 조각,D급,1,1,6,0,10,0.1,0,0,0,,0,0,0
junk_spoon,휘어진 숟가락,D급,1,1,6,0,5,0.05,0,0,0,,0,0,0
junk_fork_bent,구부러진 포크,D급,1,1,6,0,5,0.05,0,0,0,,0,0,0
junk_can_empty,빈 깡통,D급,1,1,6,0,8,0.08,0,0,0,,0,0,0
junk_cigarette_pack,빈 담배갑,D급,1,1,6,0,6,0.02,0,0,0,,0,0,0
junk_lighter_empty,빈 라이터,D급,1,1,6,0,4,0.03,0,0,0,,0,0,0
junk_sock_pair,양말,D급,1,1,6,0,3,0.05,0,0,0,,0,0,0
junk_hat_cap,낡은 모자,D급,1,2,6,0,2,0.15,0,0,0,,0,0,0
junk_shoe_single,한 짝 신발,D급,1,2,6,0,2,0.3,0,0,0,,0,0,0
junk_book_novel,찢어진 소설,D급,1,2,6,0,3,0.4,0,0,0,,0,0,0
junk_magazine,잡지,D급,1,2,6,0,4,0.25,0,0,0,,0,0,0
junk_photo_frame,빈 액자,D급,1,2,6,0,2,0.5,0,0,0,,0,0,0
junk_doll_head,인형 머리,D급,1,1,6,1,2,0.15,0,0,0,,0,0,0
junk_cassette,카세트,D급,1,1,6,0,5,0.08,0,0,0,,0,0,0
junk_cd_scratched,긁힌 CD,D급,1,1,6,0,6,0.05,0,0,0,,0,0,0
junk_remote_tv,TV 리모컨,D급,1,1,6,0,3,0.12,0,0,0,,0,0,0
junk_lightbulb_dead,나간 전구,D급,1,1,6,0,4,0.1,0,0,0,,0,0,0
junk_battery_dead,방전 건전지,D급,1,1,6,0,6,0.08,0,0,0,,0,0,0
junk_wire_tangle,엉킨 전선,D급,1,1,6,0,4,0.15,0,0,0,,0,0,0
junk_rag_dirty,더러운 걸레,D급,1,1,6,0,5,0.1,0,0,0,,0,0,0
junk_rope_short,짧은 밧줄,C급,1,2,6,0,3,0.25,0,0,0,,0,0,0
junk_nail_box,못 상자,C급,1,1,6,0,4,0.3,0,0,0,,0,0,0
junk_tape_duct,덕트 테이프,C급,1,1,6,0,3,0.15,0,0,0,,0,0,0
junk_glue_tube,접착제,C급,1,1,6,0,4,0.12,0,0,0,,0,0,0
junk_toilet_paper,휴지,D급,1,2,6,0,4,0.2,0,0,0,,0,0,0
junk_soap_bar,비누,D급,1,1,6,0,5,0.15,0,0,0,,0,0,0
junk_toothbrush,칫솔,D급,1,1,6,0,4,0.05,0,0,0,,0,0,0
junk_comb,빗,D급,1,1,6,0,3,0.04,0,0,0,,0,0,0
junk_mirror_shard,거울 조각,D급,1,1,6,1,3,0.1,0,0,0,,0,0,0
junk_ashtray,재떨이,D급,1,1,6,0,2,0.2,0,0,0,,0,0,0
junk_bottle_glass,유리병,D급,1,2,6,0,4,0.35,0,0,0,,0,0,0
junk_food_moldy,곰팡이 음식,D급,1,1,6,0,3,0.25,0,0,0,,0,0,0
junk_mug_chipped,이빠진 머그,D급,1,1,6,0,4,0.2,0,0,0,,0,0,0
junk_kettle,주전자,C급,1,2,6,0,2,0.6,0,0,0,,0,0,0
junk_pan_rust,녹슨 프라이팬,C급,2,2,6,0,2,0.9,0,0,0,,0,0,0
junk_typewriter,타자기,C급,2,2,6,1,1,3.5,0,0,0,,0,0,0
junk_printer,고장 프린터,B급,2,3,6,1,1,4,0,0,0,,0,0,0
junk_bike_wheel,자전거 바퀴,C급,2,2,6,1,1,1.5,0,0,0,,0,0,0
junk_sign_road,표지판 조각,C급,2,1,6,1,1,2,0,0,0,,0,0,0
junk_mannequin_arm,마네킹 팔,밤 공포,1,3,6,2,1,0.8,0,0,0,,0,0,0
val_gold_bar,금괴,전당포 S급,2,1,4,3,1,2,0,0,0,,0,0,0
val_diamond_ring,다이아 반지,금고 희귀,1,1,4,3,1,0.06,0,0,0,,0,0,0
val_antique_vase,골동 화병,2x3 대형 귀중,2,3,4,3,1,1.2,0,0,0,,0,0,0
val_platinum_chain,백금 목걸이,Epic 악세,1,2,4,3,1,0.14,0,0,0,,0,0,0
val_emerald_brooch,에메랄드 브로치,밤 금고,1,1,4,3,1,0.04,0,0,0,,0,0,0
instant_noodles,라면,음식,1,1,2,0,4,0.15,1,5,15,,0,0,0
soda_can,탄산캔,음료,1,1,2,0,6,0.2,1,5,10,,0,0,0
protein_shake,단백질 쉐이크,체력,1,1,2,1,3,0.25,1,1,20,,0,0,0
liquor_bottle,술병,거래용,1,2,2,1,2,0.5,1,5,5,,0,0,0
tape_roll,테이프,수리,1,1,3,0,5,0.12,0,0,0,,0,0,0
plastic_sheet,비닐 시트,제작,1,2,3,0,4,0.2,0,0,0,,0,0,0
val_silver_spoon,은 숟가락,C급,1,1,4,1,1,0.06,0,0,0,,0,0,0
val_lottery_ticket,복권,C급,1,1,4,0,5,0.01,0,0,0,,0,0,0
val_perfume_empty,빈 향수병,B급,1,1,4,1,1,0.2,0,0,0,,0,0,0
val_cigar_box,시가 상자,B급,1,2,4,2,1,0.25,0,0,0,,0,0,0
val_jade_pendant,옥 펜던트,A급,1,1,4,2,1,0.05,0,0,0,,0,0,0
val_music_box,오르골,B급,1,2,4,2,1,0.5,0,0,0,,0,0,0
val_opal_ring,오팔 반지,A급,1,1,4,3,1,0.04,0,0,0,,0,0,0
junk_wallet_empty,빈 지갑,D급,1,1,6,0,4,0.08,0,0,0,,0,0,0
junk_keys_bent,휘어진 열쇠,D급,1,1,6,0,3,0.05,0,0,0,,0,0,0
junk_pen_broken,깨진 펜,D급,1,1,6,0,6,0.02,0,0,0,,0,0,0
junk_calendar,낡은 달력,D급,1,2,6,0,3,0.3,0,0,0,,0,0,0
junk_candle_stub,초골,D급,1,1,6,0,5,0.05,0,0,0,,0,0,0
junk_newspaper,신문,D급,1,2,6,0,5,0.15,0,0,0,,0,0,0
junk_glove_single,한 짝 장갑,D급,1,1,6,0,4,0.08,0,0,0,,0,0,0
junk_zip_bag,지퍼백,D급,1,1,6,0,8,0.03,0,0,0,,0,0,0
junk_card_deck,카드 한 장,D급,1,1,6,0,10,0.01,0,0,0,,0,0,0
junk_umbrella_broken,부러진 우산,C급,1,2,6,0,2,0.4,0,0,0,,0,0,0
junk_trophy_fake,가짜 트로피,C급,1,2,6,1,1,0.6,0,0,0,,0,0,0
junk_balloon_deflated,바람 빠진 풍선,D급,1,1,6,0,6,0.02,0,0,0,,0,0,0
ingredient_meat,고기 조각,조리대 재료,1,1,2,0,5,0.3,0,0,0,,0,0,0
ingredient_vegetable,마른 채소,조리대 재료,1,1,2,0,8,0.1,0,0,0,,0,0,0
ingredient_salt,소금,조리대 재료,1,1,2,0,10,0.05,0,0,0,,0,0,0
ingredient_herb,허브,조리대 재료,1,1,2,1,6,0.05,0,0,0,,0,0,0
ingredient_flour,밀가루,조리대 재료,1,2,2,0,3,0.5,0,0,0,,0,0,0
ingredient_sugar,설탕,조리대 재료,1,1,2,0,8,0.1,0,0,0,,0,0,0
recipe_stew,스튜 레시피,고기 스튜 조리법 해금,1,1,5,0,1,0.05,1,0,0,,0,0,0
recipe_bread,빵 레시피,구운 빵 조리법 해금,1,1,5,0,1,0.05,1,0,0,,0,0,0
recipe_tea,허브차 레시피,허브차 조리법 해금,1,1,5,1,1,0.05,1,0,0,,0,0,0
recipe_soup,수프 레시피,활력 수프 조리법 해금,1,1,5,1,1,0.05,1,0,0,,0,0,0
recipe_special,특제 요리법,특제 요리 조리법 해금,1,1,5,2,1,0.1,1,0,0,,0,0,0
cooked_stew,고기 스튜,조리 음식·포만감,1,1,2,0,2,0.4,1,5,35,,0,0,0
cooked_bread,구운 빵,조리 음식·포만감,1,1,2,0,3,0.2,1,5,15,,0,0,0
herbal_tea,허브차,조리 음식·수분,1,1,2,0,2,0.15,1,5,20,,0,0,0
energy_soup,활력 수프,조리 음식·스태미너,1,1,2,0,2,0.3,1,3,25,,0,0,0
special_meal,특제 요리,조리 음식·복합,1,2,2,2,1,0.5,1,5,50,,0,0,0
repair_kit,수리 키트,무기·방어구 내구 현장 회복,2,2,2,1,1,1,0,0,0,,1,100,25
ammo_rounds,탄약,거래/물물교환용(총기 미구현),1,1,6,1,30,0.02,0,0,0,,0,0,0
note_nameplate,이름 적힌 명패,죽은 자의 분실물(BD-19),1,1,6,1,1,0.05,0,0,0,,0,0,0
pkg_marked,표식 봉투,익명 의뢰 물품(BD-20),1,1,6,1,1,0.1,0,0,0,,0,0,0
subway_motor,전동 견인 모터,지하철 복구 부품 초대형,8,6,6,2,1,20,0,0,0,,0,0,0
subway_control,신호 제어 유닛,지하철 복구 부품,2,2,6,2,1,3,0,0,0,,0,0,0
subway_brake,제동 어셈블리,지하철 복구 부품,2,3,6,2,1,5,0,0,0,,0,0,0
subway_railclamp,레일 체결 키트,지하철 복구 부품,2,1,6,2,1,2,0,0,0,,0,0,0
subway_pantograph,팬터그래프,지하철 복구 부품,3,2,6,2,1,4,0,0,0,,0,0,0
val_power_cell,충전된 전력 셀,이 시대 최고가 에너지 Legendary,1,2,4,4,1,0.5,0,0,0,,0,0,0
val_power_core,산업용 전력 코어,대형 전력 Epic,2,2,4,3,1,1,0,0,0,,0,0,0
val_power_bank,휴대 배터리팩,소형 보급 전력 Rare,1,1,4,2,1,0.2,0,0,0,,0,0,0
val_power_cell_drained,방전된 전력 셀,충전0 저가,1,2,4,1,1,0.3,0,0,0,,0,0,0
